Team,Logo,M1,D1,L1,T1,M2,D2,L2,T2,M3,D3,L3,T3,M4,D4,L4,T4,M5,D5,L5,T5,M6,D6,L6,T6,M7,D7,L7,T7,M8,D8,L8,T8,M9,D9,L9,T9,M10,D10,L10,T10,M11,D11,L11,T11,M12,D12,L12,T12
Tulsa,\Logos\Tulsa.png,SEP,1,H,\Logos\Cent Arkansas.png,SEP,8,A,\Logos\Texas.png,SEP,15,H,\Logos\Arkansas St.png,SEP,20,A,\Logos\Temple.png,OCT,4,A,\Logos\Houston.png,OCT,12,H,\Logos\South Florida.png,OCT,20,A,\Logos\Arkansas.png,OCT,27,H,\Logos\Tulane.png,NOV,3,H,\Logos\Connecticut.png,NOV,10,A,\Logos\Memphis.png,NOV,17,A,\Logos\Navy.png,NOV,24,H,\Logos\SMU.png
UAB,\Logos\UAB.png,AUG,30,H,\Logos\Savannah St.png,SEP,8,A,\Logos\Coastal Car.png,SEP,15,H,\Logos\Tulane.png,SEP,29,H,\Logos\Charlotte.png,OCT,6,A,\Logos\Louisiana Tech.png,OCT,13,A,\Logos\Rice.png,OCT,20,H,\Logos\North Texas.png,OCT,27,A,\Logos\UTEP.png,NOV,3,H,\Logos\UT San Antonio.png,NOV,10,H,\Logos\Southern Miss.png,NOV,17,A,\Logos\Texas A&M.png,NOV,24,A,\Logos\MTSU.png
UCF,\Logos\UCF.png,AUG,30,A,\Logos\Connecticut.png,SEP,8,H,\Logos\S Carolina St.png,SEP,15,A,\Logos\North Carolina.png,SEP,21,H,\Logos\FL Atlantic.png,SEP,29,H,\Logos\Pittsburgh.png,OCT,6,H,\Logos\SMU.png,OCT,13,A,\Logos\Memphis.png,OCT,20,A,\Logos\East Carolina.png,NOV,1,H,\Logos\Temple.png,NOV,10,H,\Logos\Navy.png,NOV,17,H,\Logos\Cincinnati.png,NOV,23,A,\Logos\South Florida.png
UCLA,\Logos\UCLA.png,SEP,1,H,\Logos\Cincinnati.png,SEP,8,A,\Logos\Oklahoma.png,SEP,15,H,\Logos\Fresno St.png,SEP,28,A,\Logos\Colorado.png,OCT,6,H,\Logos\Washington.png,OCT,13,A,\Logos\California.png,OCT,20,H,\Logos\Arizona.png,OCT,26,H,\Logos\Utah.png,NOV,3,A,\Logos\Oregon.png,NOV,10,A,\Logos\Arizona St.png,NOV,17,H,\Logos\USC.png,NOV,24,H,\Logos\Stanford.png
ULL,\Logos\ULL.png,SEP,1,H,\Logos\Grambling.png,SEP,15,A,\Logos\Mississippi St.png,SEP,22,H,\Logos\Coastal Car.png,SEP,29,A,\Logos\Alabama.png,OCT,6,A,\Logos\Texas St.png,OCT,13,H,\Logos\New Mexico St.png,OCT,20,A,\Logos\Appalachian St.png,OCT,27,H,\Logos\Arkansas St.png,NOV,3,A,\Logos\Troy.png,NOV,10,H,\Logos\Georgia St.png,NOV,17,H,\Logos\South Alabama.png,NOV,24,A,\Logos\ULM.png
ULM,\Logos\ULM.png,AUG,30,H,\Logos\SE Louisiana.png,SEP,8,A,\Logos\Southern Miss.png,SEP,15,A,\Logos\Texas A&M.png,SEP,22,H,\Logos\Troy.png,SEP,29,A,\Logos\Georgia St.png,OCT,6,A,\Logos\Mississippi.png,OCT,13,A,\Logos\Coastal Car.png,OCT,20,H,\Logos\Texas St.png,NOV,3,H,\Logos\Ga Southern.png,NOV,10,A,\Logos\South Alabama.png,NOV,17,A,\Logos\Arkansas St.png,NOV,24,H,\Logos\ULL.png
UNLV,\Logos\UNLV.png,SEP,1,A,\Logos\USC.png,SEP,8,H,\Logos\UTEP.png,SEP,15,H,\Logos\Prairie View.png,SEP,22,A,\Logos\Arkansas St.png,OCT,6,H,\Logos\New Mexico.png,OCT,13,A,\Logos\Utah St.png,OCT,19,H,\Logos\Air Force.png,OCT,27,A,\Logos\San Jose St.png,NOV,3,H,\Logos\Fresno St.png,NOV,10,A,\Logos\San Diego St.png,NOV,17,A,\Logos\Hawaii.png,NOV,24,H,\Logos\Nevada.png
USC,\Logos\USC.png,SEP,1,H,\Logos\UNLV.png,SEP,8,A,\Logos\Stanford.png,SEP,15,A,\Logos\Texas.png,SEP,21,H,\Logos\Washington St.png,SEP,29,A,\Logos\Arizona.png,OCT,13,H,\Logos\Colorado.png,OCT,20,A,\Logos\Utah.png,OCT,27,H,\Logos\Arizona St.png,NOV,3,A,\Logos\Oregon St.png,NOV,10,H,\Logos\California.png,NOV,17,A,\Logos\UCLA.png,NOV,24,H,\Logos\Notre Dame.png
UT San Antonio,\Logos\UT San Antonio.png,SEP,1,A,\Logos\Arizona St.png,SEP,8,H,\Logos\Baylor.png,SEP,15,A,\Logos\Kansas St.png,SEP,22,H,\Logos\Texas St.png,SEP,29,H,\Logos\UTEP.png,OCT,6,A,\Logos\Rice.png,OCT,13,H,\Logos\Louisiana Tech.png,OCT,20,A,\Logos\Southern Miss.png,NOV,3,A,\Logos\UAB.png,NOV,10,H,\Logos\Florida Intl.png,NOV,17,A,\Logos\Marshall.png,NOV,24,H,\Logos\North Texas.png
Utah,\Logos\Utah.png,AUG,30,H,\Logos\Weber St.png,SEP,8,A,\Logos\N Illinois.png,SEP,15,H,\Logos\Washington.png,SEP,29,A,\Logos\Washington St.png,OCT,6,A,\Logos\Stanford.png,OCT,12,H,\Logos\Arizona.png,OCT,20,H,\Logos\USC.png,OCT,26,A,\Logos\UCLA.png,NOV,3,A,\Logos\Arizona St.png,NOV,10,H,\Logos\Oregon.png,NOV,17,A,\Logos\Colorado.png,NOV,24,H,\Logos\BYU.png
Utah St,\Logos\Utah St.png,AUG,31,A,\Logos\Michigan St.png,SEP,8,H,\Logos\New Mexico St.png,SEP,13,H,\Logos\Tennessee Tech.png,SEP,22,H,\Logos\Air Force.png,OCT,5,A,\Logos\BYU.png,OCT,13,H,\Logos\UNLV.png,OCT,20,A,\Logos\Wyoming.png,OCT,27,H,\Logos\New Mexico.png,NOV,3,A,\Logos\Hawaii.png,NOV,10,H,\Logos\San Jose St.png,NOV,17,A,\Logos\Colorado St.png,NOV,24,A,\Logos\Boise St.png
UTEP,\Logos\UTEP.png,SEP,1,H,\Logos\Northern Arizona.png,SEP,8,A,\Logos\UNLV.png,SEP,15,A,\Logos\Tennessee.png,SEP,22,H,\Logos\New Mexico St.png,SEP,29,A,\Logos\UT San Antonio.png,OCT,6,H,\Logos\North Texas.png,OCT,20,A,\Logos\Louisiana Tech.png,OCT,27,H,\Logos\UAB.png,NOV,3,A,\Logos\Rice.png,NOV,10,H,\Logos\MTSU.png,NOV,17,A,\Logos\WKU.png,NOV,24,H,\Logos\Southern Miss.png
Vanderbilt,\Logos\Vanderbilt.png,SEP,1,H,\Logos\MTSU.png,SEP,8,H,\Logos\Nevada.png,SEP,15,A,\Logos\Notre Dame.png,SEP,22,H,\Logos\South Carolina.png,SEP,29,H,\Logos\Tennessee St.png,OCT,6,A,\Logos\Georgia.png,OCT,13,H,\Logos\Florida.png,OCT,20,A,\Logos\Kentucky.png,OCT,27,A,\Logos\Arkansas.png,NOV,10,A,\Logos\Missouri.png,NOV,17,H,\Logos\Mississippi.png,NOV,24,H,\Logos\Tennessee.png
Virginia,\Logos\Virginia.png,SEP,1,H,\Logos\Richmond.png,SEP,8,A,\Logos\Indiana.png,SEP,15,H,\Logos\Ohio.png,SEP,22,H,\Logos\Louisville.png,SEP,29,A,\Logos\NC State.png,OCT,13,H,\Logos\Miami FL.png,OCT,20,A,\Logos\Duke.png,OCT,27,H,\Logos\North Carolina.png,NOV,2,H,\Logos\Pittsburgh.png,NOV,10,H,\Logos\Liberty.png,NOV,17,A,\Logos\Georgia Tech.png,NOV,23,A,\Logos\Virginia Tech.png
Virginia Tech,\Logos\Virginia Tech.png,SEP,3,A,\Logos\Florida St.png,SEP,8,H,\Logos\William & Mary.png,SEP,15,H,\Logos\East Carolina.png,SEP,22,A,\Logos\Old Dominion.png,SEP,29,A,\Logos\Duke.png,OCT,6,H,\Logos\Notre Dame.png,OCT,13,A,\Logos\North Carolina.png,OCT,25,H,\Logos\Georgia Tech.png,NOV,3,H,\Logos\Boston College.png,NOV,10,A,\Logos\Pittsburgh.png,NOV,17,H,\Logos\Miami FL.png,NOV,23,H,\Logos\Virginia.png
W Michigan,\Logos\W Michigan.png,AUG,31,H,\Logos\Syracuse.png,SEP,8,A,\Logos\Michigan.png,SEP,15,H,\Logos\Delaware St.png,SEP,22,A,\Logos\Georgia St.png,SEP,29,A,\Logos\Miami OH.png,OCT,6,H,\Logos\E Michigan.png,OCT,13,A,\Logos\Bowling Green.png,OCT,20,A,\Logos\C Michigan.png,OCT,25,H,\Logos\Toledo.png,NOV,1,H,\Logos\Ohio.png,NOV,13,A,\Logos\Ball St.png,NOV,20,H,\Logos\N Illinois.png
Wake Forest,\Logos\Wake Forest.png,AUG,30,A,\Logos\Tulane.png,SEP,8,H,\Logos\Towson.png,SEP,13,H,\Logos\Boston College.png,SEP,22,H,\Logos\Notre Dame.png,SEP,29,H,\Logos\Rice.png,OCT,6,H,\Logos\Clemson.png,OCT,20,A,\Logos\Florida St.png,OCT,27,A,\Logos\Louisville.png,NOV,3,H,\Logos\Syracuse.png,NOV,8,A,\Logos\NC State.png,NOV,17,H,\Logos\Pittsburgh.png,NOV,24,A,\Logos\Duke.png
Washington,\Logos\Washington.png,SEP,1,N,\Logos\Auburn.png,SEP,8,H,\Logos\North Dakota.png,SEP,15,A,\Logos\Utah.png,SEP,22,H,\Logos\Arizona St.png,SEP,29,H,\Logos\BYU.png,OCT,6,A,\Logos\UCLA.png,OCT,13,A,\Logos\Oregon.png,OCT,20,H,\Logos\Colorado.png,OCT,27,A,\Logos\California.png,NOV,3,H,\Logos\Stanford.png,NOV,17,H,\Logos\Oregon St.png,NOV,23,A,\Logos\Washington St.png
Washington St,\Logos\Washington St.png,SEP,1,A,\Logos\Wyoming.png,SEP,8,H,\Logos\San Jose St.png,SEP,15,H,\Logos\E Washington.png,SEP,21,A,\Logos\USC.png,SEP,29,H,\Logos\Utah.png,OCT,6,A,\Logos\Oregon St.png,OCT,20,H,\Logos\Oregon.png,OCT,27,A,\Logos\Stanford.png,NOV,3,H,\Logos\California.png,NOV,10,A,\Logos\Colorado.png,NOV,17,H,\Logos\Arizona.png,NOV,23,H,\Logos\Washington.png
West Virginia,\Logos\West Virginia.png,SEP,1,N,\Logos\Tennessee.png,SEP,8,H,\Logos\Youngstown St.png,SEP,15,A,\Logos\NC State.png,SEP,22,H,\Logos\Kansas St.png,SEP,29,A,\Logos\Texas Tech.png,OCT,6,H,\Logos\Kansas.png,OCT,13,A,\Logos\Iowa St.png,OCT,25,H,\Logos\Baylor.png,NOV,3,A,\Logos\Texas.png,NOV,10,H,\Logos\TCU.png,NOV,17,A,\Logos\Oklahoma St.png,NOV,23,H,\Logos\Oklahoma.png
Wisconsin,\Logos\Wisconsin.png,AUG,31,H,\Logos\WKU.png,SEP,8,H,\Logos\New Mexico.png,SEP,15,H,\Logos\BYU.png,SEP,22,A,\Logos\Iowa.png,OCT,6,H,\Logos\Nebraska.png,OCT,13,A,\Logos\Michigan.png,OCT,20,H,\Logos\Illinois.png,OCT,27,A,\Logos\Northwestern.png,NOV,3,H,\Logos\Rutgers.png,NOV,10,A,\Logos\Penn St.png,NOV,17,A,\Logos\Purdue.png,NOV,24,H,\Logos\Minnesota.png
WKU,\Logos\WKU.png,AUG,31,A,\Logos\Wisconsin.png,SEP,8,H,\Logos\Maine.png,SEP,15,A,\Logos\Louisville.png,SEP,22,A,\Logos\Ball St.png,SEP,29,H,\Logos\Marshall.png,OCT,13,A,\Logos\Charlotte.png,OCT,20,H,\Logos\Old Dominion.png,OCT,27,H,\Logos\Florida Intl.png,NOV,2,A,\Logos\MTSU.png,NOV,10,A,\Logos\FL Atlantic.png,NOV,17,H,\Logos\UTEP.png,NOV,24,A,\Logos\Louisiana Tech.png
Wyoming,\Logos\Wyoming.png,AUG,25,A,\Logos\New Mexico St.png,SEP,1,H,\Logos\Washington St.png,SEP,8,A,\Logos\Missouri.png,SEP,15,H,\Logos\Wofford.png,SEP,29,H,\Logos\Boise St.png,OCT,6,A,\Logos\Hawaii.png,OCT,13,A,\Logos\Fresno St.png,OCT,20,H,\Logos\Utah St.png,OCT,26,A,\Logos\Colorado St.png,NOV,3,H,\Logos\San Jose St.png,NOV,17,H,\Logos\Air Force.png,NOV,24,A,\Logos\New Mexico.png
